,sign,frequency
0,1,2505
1,AN,3688
2,ITI,1368
3,MEŠ,4543
4,IG,371
5,RA,1999
6,ZÍ,666
7,IŠ,4584
8,NA,8457
9,AŠ,2744
10,BAD,1899
11,UL,1528
12,20,1312
13,2,1707
14,UM,1085
15,3,1375
16,ḪAL,6959
17,LÚ,647
18,UN,742
19,MA,3349
20,MU,262
21,IGI,518
22,ME,1866
23,ḪU,1276
24,UD,692
25,TUK,428
26,SÌLA,3804
27,30,261
28,5,592
29,ŠE,1327
30,BAR,1482
31,KUR,2226
32,SAL,2716
33,ḪA,1029
34,TUR,275
35,BA,1979
36,NU,697
37,UR,1051
38,RI,1015
39,IA,1299
40,IB,954
41,GAL,978
42,LU,368
43,DU,2987
44,DA,3384
45,MAN,1601
46,SA,399
47,MI,1122
48,A,585
49,AG,983
50,GÁN,216
51,PAP,584
52,6,464
53,40,260
54,8,374
55,BU,940
56,MIN,1703
57,KI,2120
58,½,620
59,10,726
60,TAB,38
61,DIŠ,545
62,U,720
63,ÀŠ,154
64,ŠÀ,25
65,80,108
66,9,402
67,AM,90
68,ḪI,732
69,KU,896
70,ŠU,526
71,EŠ₅,293
72,USSU,123
73,ŠÈ,481
74,TI,1070
75,NÍG,1948
76,Ú,340
77,KAL,368
78,EŠ,100
79,LIMMU₄,158
80,SU,128
81,PA,402
82,MAR,858
83,GIŠ,1206
84,GEŠTIN,227
85,GI,200
86,AB,513
87,ZA,614
88,ÁŠ,159
89,TE,187
90,PÍR,357
91,RU,247
92,UG,222
93,LI,583
94,90,88
95,4,792
96,MAŠ,168
97,IMIN,107
98,TUM,71
99,ARAD,98
100,IÁ,156
101,KAR,277
102,TU,375
103,NI,236
104,IR,884
105,BI,278
106,EŠŠANA,299
107,60,132
108,PI,510
109,E,130
110,LA,216
111,RÁK,43
112,ḪAR,117
113,MÁŠ,67
114,AD,170
115,ḪUB,25
116,NUMUN,32
117,IN,169
118,SI,29
119,ANŠE,74
120,DIN,67
121,7,322
122,GU₄,29
123,50,187
124,TAR,153
125,SUD,94
126,x,79
127,½ ,2
128,ILIMMU,2
129,KASKAL,17
130,EN,24
131,KAM,44
132,Á,22
133,PAN,47
134,70,118
135,DUB,72
136,MUŠ,24
137,I,59
138,ŠID,12
139,Tāw,7
140,ZI,2
141,KIN,18
142,ZIG,23
143,GIM,16
144,GIR,5
145,NE,19
146,TAG,5
147,GÌR,7
148,IM,4
149,NAB,3
150,GAG,33
151,AZ ,6
152,Pê,6
153,Gîmel,3
154,Bêt,4
155,Rêš,4
156,Yôd,5
157,ʾālep,2
158,ŠÌTA,11
159,AḪ,11
160,KÙ,5
161,⅓,4
162,⅔,3
163,EL,10
164,SAR,8
165,ZAG,3
166,y,3
167,23,2
168,ÉRIN,4
169,KI+MIN,2
170,GIG,3
171,Lāmed,2
172,Nûn,4
173,Sāmek,2
174,Ḥêt,2
175,HU,2
176,TA,2
177,ZIB,4
178,KI ,3
179,ʾ,2
180,Šîn,2
181,APIN,2
182,GI₄,2
183,Zayin,2
184,14,2
